Category,Subcategory,Language,Phrase,phrase_length
Admissions / Enrollment,Copy of Transcript,EN,"Could I get a printed version of my transcript, please?",55.0
Admissions / Enrollment,Copy of Transcript,EN,I lost my transcript; how can I get another one?,48.0
Admissions / Enrollment,Copy of Transcript,EN,Is it possible to get a digital copy of my transcript?,54.0
Admissions / Enrollment,Copy of Transcript,EN,I'm looking for my transcript; where do I request that?,55.0
Admissions / Enrollment,Copy of Transcript,EN,I need my transcript for a job application; how do I get it?,60.0
Admissions / Enrollment,Copy of Transcript,EN,Can you tell me the steps to order my transcript?,49.0
Admissions / Enrollment,Copy of Transcript,EN,Are transcripts ready for pickup or do I need to wait?,54.0
Admissions / Enrollment,Copy of Transcript,EN,What do I need to bring to get a copy of my transcript?,55.0
Admissions / Enrollment,Copy of Transcript,EN,How long does it take to get a transcript after I ask for it?,61.0
Admissions / Enrollment,Copy of Transcript,EN,I’m trying to get my transcript sent to a different school; can you help?,73.0
Admissions / Enrollment,Copy of Transcript,EN,I heard I can access my transcript online—is that true?,55.0
Admissions / Enrollment,Copy of Transcript,EN,"Do I have to pay for my transcript, or is it free?",50.0
Admissions / Enrollment,Copy of Transcript,EN,Can I request my transcript if I’m not currently enrolled?,58.0
Admissions / Enrollment,Copy of Transcript,EN,I need my transcript for grad school applications. How do I get that?,69.0
Admissions / Enrollment,Copy of Transcript,EN,Is there a form I need to fill out to get my transcript?,56.0
Admissions / Enrollment,Copy of Transcript,EN,"I just need a quick copy of my transcript, where do I go?",57.0
Admissions / Enrollment,Copy of Transcript,EN,Do you have a form I can fill out for my transcript order?,58.0
Admissions / Enrollment,Copy of Transcript,EN,Can you confirm if my transcript request went through?,54.0
Admissions / Enrollment,Copy of Transcript,EN,I’ve been waiting for my transcript; can you check on that for me?,66.0
Admissions / Enrollment,Copy of Transcript,EN,"I need a copy of my transcript, can you help me quickly?",56.0
Admissions / Enrollment,Copy of Transcript,EN,Could I get my transcript copy right away?,42.0
Admissions / Enrollment,Copy of Transcript,EN,"I’m in a hurry, can I grab my transcript fast?",46.0
Admissions / Enrollment,Copy of Transcript,EN,Can you print my transcript for me ASAP?,40.0
Admissions / Enrollment,Copy of Transcript,EN,"I really need my transcript, can you do it fast?",48.0
Admissions / Enrollment,Copy of Transcript,EN,Do you have my transcript ready? I’m on a tight schedule.,57.0
Admissions / Enrollment,Copy of Transcript,EN,"I need a copy of my transcript before my next class, please!",60.0
Admissions / Enrollment,Copy of Transcript,EN,Can you rush my transcript copy? I’m late for an appointment.,61.0
Admissions / Enrollment,Copy of Transcript,EN,"I need my transcript urgently, how long will it take?",53.0
Admissions / Enrollment,Copy of Transcript,EN,Is it possible to get my transcript quickly?,44.0
Admissions / Enrollment,Copy of Transcript,EN,"I’m in a hurry, can I just get my transcript now?",49.0
Admissions / Enrollment,Copy of Transcript,EN,"Can I have my transcript copy, I’m running late!",48.0
Admissions / Enrollment,Copy of Transcript,EN,"Please, I need my transcript now, is that possible?",51.0
Admissions / Enrollment,Copy of Transcript,EN,"I need a transcript copy, but I really can’t wait long.",55.0
Admissions / Enrollment,Copy of Transcript,EN,Can you help me get my transcript fast?,39.0
Admissions / Enrollment,Copy of Transcript,EN,"I have to leave soon, can I get my transcript?",46.0
Admissions / Enrollment,Copy of Transcript,EN,Is my transcript ready yet? I’m pressed for time.,49.0
Admissions / Enrollment,Copy of Transcript,EN,"Can I get a quick copy of my transcript, please?",48.0
Admissions / Enrollment,Copy of Transcript,EN,"I need my transcript immediately, I have a meeting!",51.0
Admissions / Enrollment,Copy of Transcript,EN,Can you expedite my transcript request? I’m really in a rush.,61.0
Admissions / Enrollment,Copy of Transcript,EN,I’m on a deadline—can I have my transcript now?,47.0
Admissions / Enrollment,Copy of Transcript,EN,Could I please request a copy of my transcript?,47.0
Admissions / Enrollment,Copy of Transcript,EN,"I would like to obtain a copy of my academic transcript, if possible.",69.0
Admissions / Enrollment,Copy of Transcript,EN,May I have a copy of my transcript for my records?,50.0
Admissions / Enrollment,Copy of Transcript,EN,"I am in need of a transcript copy. Could you assist me, please?",63.0
Admissions / Enrollment,Copy of Transcript,EN,Would you be able to provide me with a copy of my transcript?,61.0
Admissions / Enrollment,Copy of Transcript,EN,I would appreciate it if you could help me acquire a transcript copy.,69.0
Admissions / Enrollment,Copy of Transcript,EN,Could you guide me on how to obtain a copy of my transcript?,60.0
Admissions / Enrollment,Copy of Transcript,EN,I am seeking a copy of my transcript; could you assist me with this?,68.0
Admissions / Enrollment,Copy of Transcript,EN,Might I request a duplicate of my academic transcript?,54.0
Admissions / Enrollment,Copy of Transcript,EN,Could you inform me about the process to get a copy of my transcript?,69.0
Admissions / Enrollment,Copy of Transcript,EN,"I would like assistance in obtaining a copy of my transcript, please.",69.0
Admissions / Enrollment,Copy of Transcript,EN,Would it be possible to request my transcript copy here?,56.0
Admissions / Enrollment,Copy of Transcript,EN,I kindly request a copy of my transcript at your earliest convenience.,70.0
Admissions / Enrollment,Copy of Transcript,EN,Could you please help me secure a copy of my transcript?,56.0
Admissions / Enrollment,Copy of Transcript,EN,I am looking to obtain my transcript copy; could you help me?,61.0
Admissions / Enrollment,Copy of Transcript,EN,May I ask for your assistance in acquiring a transcript copy?,61.0
Admissions / Enrollment,Copy of Transcript,EN,Could you let me know how I can get a duplicate of my transcript?,65.0
Admissions / Enrollment,Copy of Transcript,EN,"I would like to request a copy of my transcript, thank you.",59.0
Admissions / Enrollment,Copy of Transcript,EN,Could you please let me know the steps to request my transcript?,64.0
Admissions / Enrollment,Copy of Transcript,EN,I need to obtain a copy of my transcript; could you assist me?,62.0
Admissions / Enrollment,Copy of Transcript,EN,Would you be able to help me in securing a copy of my academic transcript?,74.0
Admissions / Enrollment,Copy of Transcript,EN,I need a copy of my transcript for a job application.,53.0
Admissions / Enrollment,Copy of Transcript,EN,Could you help me get my transcript for my transfer application?,64.0
Admissions / Enrollment,Copy of Transcript,EN,I'm applying to grad schools and require my transcript.,55.0
Admissions / Enrollment,Copy of Transcript,EN,I need a copy of my transcript for a scholarship application.,61.0
Admissions / Enrollment,Copy of Transcript,EN,Could I get my transcript to verify my credits for a new school?,64.0
Admissions / Enrollment,Copy of Transcript,EN,I'm applying for an internship and need my transcript sent.,59.0
Admissions / Enrollment,Copy of Transcript,EN,I need to provide my transcript for my study abroad program.,60.0
Admissions / Enrollment,Copy of Transcript,EN,Can you print my transcript? I need it for a job interview.,59.0
Admissions / Enrollment,Copy of Transcript,EN,"I'm transferring and need my official transcript, please.",57.0
Admissions / Enrollment,Copy of Transcript,EN,I need a copy of my transcript for my academic advisor.,55.0
Admissions / Enrollment,Copy of Transcript,EN,Can I get my transcript for a research position I'm applying for?,65.0
Admissions / Enrollment,Copy of Transcript,EN,I'm looking to apply for a fellowship and need my transcript.,61.0
Admissions / Enrollment,Copy of Transcript,EN,Could you help me obtain my transcript quickly? I have a deadline.,66.0
Admissions / Enrollment,Copy of Transcript,EN,I need my transcript to complete my application for a new major.,64.0
Admissions / Enrollment,Copy of Transcript,EN,Can you assist me with getting an electronic copy of my transcript?,67.0
Admissions / Enrollment,Copy of Transcript,EN,I need my transcript to apply for eligibility for a grant.,58.0
Admissions / Enrollment,Copy of Transcript,EN,I'm applying for a resume builder program that requires my transcript.,70.0
Admissions / Enrollment,Copy of Transcript,EN,I require my transcript to apply for a license program.,55.0
Admissions / Enrollment,Copy of Transcript,EN,Can I have my transcript sent to my new college?,48.0
Admissions / Enrollment,Copy of Transcript,EN,I need my transcript for a club I'm joining that requires it.,61.0
Admissions / Enrollment,Copy of Transcript,EN,"Can I get a copy of my transcript, please?",42.0
Admissions / Enrollment,Copy of Transcript,EN,I need a transcript for my application. How do I request one?,61.0
Admissions / Enrollment,Copy of Transcript,EN,Could you help me obtain a copy of my academic transcript?,58.0
Admissions / Enrollment,Copy of Transcript,EN,I would like to request my transcript. What’s the process?,58.0
Admissions / Enrollment,Copy of Transcript,EN,Is it possible to get a printed version of my transcript?,57.0
Admissions / Enrollment,Copy of Transcript,EN,Can you guide me on how to access my transcript?,48.0
Admissions / Enrollment,Copy of Transcript,EN,I need an official copy of my transcript for a job application.,63.0
Admissions / Enrollment,Copy of Transcript,EN,Could you tell me where I can pick up my transcript?,52.0
Admissions / Enrollment,Copy of Transcript,EN,What do I need to provide to get my transcript?,47.0
Admissions / Enrollment,Copy of Transcript,EN,I wasn’t sure how to request my transcript. Can you assist me?,62.0
Admissions / Enrollment,Copy of Transcript,EN,Do I need to fill out a form for a copy of my transcript?,57.0
Admissions / Enrollment,Copy of Transcript,EN,Can I have a transcript sent to my home address?,48.0
Admissions / Enrollment,Copy of Transcript,EN,I’m looking to obtain my academic records. How do I do that?,60.0
Admissions / Enrollment,Copy of Transcript,EN,Are transcripts available for immediate pickup?,47.0
Admissions / Enrollment,Copy of Transcript,EN,I require a transcript for graduate school. How should I proceed?,65.0
Admissions / Enrollment,Copy of Transcript,EN,Could you check the status of my transcript request?,52.0
Admissions / Enrollment,Copy of Transcript,EN,Do I have to pay for a copy of my transcript?,45.0
Admissions / Enrollment,Copy of Transcript,EN,Is there a specific person I need to speak with for transcripts?,64.0
Admissions / Enrollment,Copy of Transcript,EN,I’d like an unofficial copy of my transcript. Is that possible?,63.0
Admissions / Enrollment,Copy of Transcript,EN,Can you print my transcript while I wait?,41.0
Admissions / Enrollment,Copy of Transcript,EN,How long does it take to receive a copy of my transcript?,57.0
Admissions / Enrollment,Guest Student Course Registration,EN,"Hey, I need help figuring out how to register as a guest student.",65.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you tell me what I need to do to sign up for courses as a guest?,68.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm lost on how to enroll as a guest student—any tips?,54.0
Admissions / Enrollment,Guest Student Course Registration,EN,Do I need to fill out a form to register for guest courses?,59.0
Admissions / Enrollment,Guest Student Course Registration,EN,What’s the deadline for guest student course registration?,58.0
Admissions / Enrollment,Guest Student Course Registration,EN,I heard there’s a process for guest students—can you explain that?,66.0
Admissions / Enrollment,Guest Student Course Registration,EN,Is there an application for guest student status that I need to complete?,73.0
Admissions / Enrollment,Guest Student Course Registration,EN,"Can I take courses this semester as a guest student, and how?",61.0
Admissions / Enrollment,Guest Student Course Registration,EN,What documents do I need to bring for guest registration?,57.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you walk me through the steps for registering as a guest?,61.0
Admissions / Enrollment,Guest Student Course Registration,EN,Do guest students pay different tuition rates?,46.0
Admissions / Enrollment,Guest Student Course Registration,EN,I’m not sure I qualify as a guest student—how do I check?,57.0
Admissions / Enrollment,Guest Student Course Registration,EN,How many classes can I take as a guest student?,47.0
Admissions / Enrollment,Guest Student Course Registration,EN,Is there a limit on how many guest courses I can sign up for?,61.0
Admissions / Enrollment,Guest Student Course Registration,EN,"Can I register online as a guest student, or do I have to come here?",68.0
Admissions / Enrollment,Guest Student Course Registration,EN,What if I change my mind about taking guest courses?,52.0
Admissions / Enrollment,Guest Student Course Registration,EN,Are there any prerequisites I need to meet as a guest student?,62.0
Admissions / Enrollment,Guest Student Course Registration,EN,What if a class is full—can I still register as a guest?,56.0
Admissions / Enrollment,Guest Student Course Registration,EN,Do you have a list of classes available for guest students?,59.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can I get help with my guest student registration form?,55.0
Admissions / Enrollment,Guest Student Course Registration,EN,What’s the process if I want to switch courses after registering as a guest?,76.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I need help registering as a guest student, it's urgent!",56.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can I quickly sign up for guest courses?,40.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I'm in a rush, how do I register for guest student classes?",59.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I have to enroll as a guest student today, please help!",55.0
Admissions / Enrollment,Guest Student Course Registration,EN,What’s the fastest way to register as a guest?,46.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need to find out about guest course availability ASAP!,56.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I only have a few minutes, how can I register for courses?",58.0
Admissions / Enrollment,Guest Student Course Registration,EN,"Please, I need guidance on guest student registration right now!",64.0
Admissions / Enrollment,Guest Student Course Registration,EN,Is there a quick way to sign up for guest courses?,50.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I'm on a tight schedule, can you assist me with guest registration?",67.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need course info for guest students immediately!,50.0
Admissions / Enrollment,Guest Student Course Registration,EN,How do I complete my guest student registration quickly?,56.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you help me rush through the guest registration process?,60.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I have a deadline for guest courses, what do I need to do?",58.0
Admissions / Enrollment,Guest Student Course Registration,EN,I’m late for a class and need to finalize guest registration!,61.0
Admissions / Enrollment,Guest Student Course Registration,EN,What documents do I need to register as a guest?,48.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need to sign up for guest courses before they fill up!,56.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you hurry? I need to enroll as a guest student!,51.0
Admissions / Enrollment,Guest Student Course Registration,EN,Is there a fast lane for guest student registration?,52.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need to know about guest course registration in the next few minutes!,71.0
Admissions / Enrollment,Guest Student Course Registration,EN,I’m in a time crunch—how can I get this guest registration done?,64.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I would like assistance with registering as a guest student, please.",68.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you guide me through the guest student course registration process?,73.0
Admissions / Enrollment,Guest Student Course Registration,EN,I have some questions regarding the requirements for guest student enrollment.,78.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you provide information on the deadlines for guest student registration?,78.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I need help accessing the guest student registration portal, please.",68.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you explain the steps involved in enrolling as a guest student?,69.0
Admissions / Enrollment,Guest Student Course Registration,EN,I am seeking clarification on the guest student application procedure.,70.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you assist me with submitting my guest student registration materials?,76.0
Admissions / Enrollment,Guest Student Course Registration,EN,I would appreciate information on the courses available for guest students.,75.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you help me understand the eligibility criteria for guest student registration?,83.0
Admissions / Enrollment,Guest Student Course Registration,EN,I am interested in enrolling as a guest student and need some guidance.,71.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you inform me about the tuition fees for guest students?,62.0
Admissions / Enrollment,Guest Student Course Registration,EN,I would like to know if there are any specific documents required for guest student registration.,97.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you help me verify my guest student application status?,61.0
Admissions / Enrollment,Guest Student Course Registration,EN,I have encountered an issue with my guest student registration; could you assist me?,84.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you provide details on the orientation process for guest students?,72.0
Admissions / Enrollment,Guest Student Course Registration,EN,I would appreciate your assistance in selecting courses as a guest student.,75.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you guide me to the appropriate resources for guest student enrollment?,75.0
Admissions / Enrollment,Guest Student Course Registration,EN,I would like to inquire about transferring credits from my guest student courses.,81.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you explain any limitations regarding guest student course selections?,76.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I need to know how to withdraw from a course as a guest student, could you help me?",83.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm here to register for guest student courses because I'm transferring from another school.,92.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need help with course registration as I'm applying for an internship next semester.,85.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you assist me with registering for guest courses? I'm hoping to earn credits for my major.,94.0
Admissions / Enrollment,Guest Student Course Registration,EN,I want to register for a guest student program to improve my GPA before transferring.,85.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm applying for a job and need extra courses; can you guide me on registration?,80.0
Admissions / Enrollment,Guest Student Course Registration,EN,I heard about guest student registration and want to know how it fits my schedule.,82.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm taking a gap year and want to register for courses as a guest student.,74.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you help me with the guest course registration process? I'm moving to this area soon.,89.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need to enroll in guest courses since my current college doesn't offer the classes I need.,92.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm planning to take some courses as a guest student to explore new subjects for my degree.,91.0
Admissions / Enrollment,Guest Student Course Registration,EN,I just got accepted to this college and need to register for guest student courses immediately.,95.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm interested in guest student registration as part of my study abroad plan.,77.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can I register for guest courses? I'm trying to expand my knowledge for future job opportunities.,97.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need assistance with registering for guest student courses; I want to transfer next fall.,91.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm here to ask about guest student registration because I want to lighten my load at my current school.,104.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you guide me in registering for courses as a guest student? I want to improve my qualifications.,100.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm looking to register for some classes as a guest student to fulfill my major requirements.,93.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need help with guest student registration; I'm considering transferring and want to get a head start.,103.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you tell me how to register for guest courses? I need them for my portfolio.,80.0
Admissions / Enrollment,Guest Student Course Registration,EN,Is it possible to register as a guest student? I want to diversify my education options.,88.0
Admissions / Enrollment,Guest Student Course Registration,EN,I need assistance with registering for guest student courses.,61.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you help me with the guest student enrollment process?,58.0
Admissions / Enrollment,Guest Student Course Registration,EN,What steps do I follow to register as a guest student?,54.0
Admissions / Enrollment,Guest Student Course Registration,EN,I'm looking for information on guest student course registration.,65.0
Admissions / Enrollment,Guest Student Course Registration,EN,How do I apply as a guest student for classes?,46.0
Admissions / Enrollment,Guest Student Course Registration,EN,Could you guide me through the guest registration procedure?,60.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I would like to enroll as a guest student, what should I do?",60.0
Admissions / Enrollment,Guest Student Course Registration,EN,Is there a deadline for guest student course registration?,58.0
Admissions / Enrollment,Guest Student Course Registration,EN,"I have questions about being a guest student, can you help?",59.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you tell me what documents are needed for guest student enrollment?,71.0
Admissions / Enrollment,Guest Student Course Registration,EN,Is there a specific form for guest student registration?,56.0
Admissions / Enrollment,Guest Student Course Registration,EN,I’m interested in taking classes as a guest student; how do I start?,68.0
Admissions / Enrollment,Guest Student Course Registration,EN,Are there any prerequisites for guest students to register for courses?,71.0
Admissions / Enrollment,Guest Student Course Registration,EN,Do you have a checklist for guest student enrollment?,53.0
Admissions / Enrollment,Guest Student Course Registration,EN,What are the fees associated with guest student registration?,61.0
Admissions / Enrollment,Guest Student Course Registration,EN,Can you explain the guest student application timeline?,55.0
Admissions / Enrollment,Guest Student Course Registration,EN,I was told to come here for guest student registration help. Can you assist me?,79.0
Admissions / Enrollment,Guest Student Course Registration,EN,How can I find out which courses are available for guest students?,66.0
Admissions / Enrollment,Guest Student Course Registration,EN,Do guest students have access to campus resources?,50.0
Admissions / Enrollment,Guest Student Course Registration,EN,Where can I get the guest student registration form?,52.0
Admissions / Enrollment,Guest Student Course Registration,EN,I’d like to know about the guest student status; do I need to apply?,68.0
Admissions / Enrollment,I need an N#,EN,"Hey, I need to get my N# real quick.",36.0
Admissions / Enrollment,I need an N#,EN,Could you help me find my N#?,29.0
Admissions / Enrollment,I need an N#,EN,I’m looking for my N# if you could help out.,44.0
Admissions / Enrollment,I need an N#,EN,I can’t find my N#; can you assist me?,38.0
Admissions / Enrollment,I need an N#,EN,I'm trying to track down my N#; any chance you could help?,58.0
Admissions / Enrollment,I need an N#,EN,"Excuse me, I need my N# to finish my application.",49.0
Admissions / Enrollment,I need an N#,EN,"Hey there, can you tell me how to get my N#?",44.0
Admissions / Enrollment,I need an N#,EN,I forgot my N# and need it ASAP.,32.0
Admissions / Enrollment,I need an N#,EN,Could I get some help with my N#?,33.0
Admissions / Enrollment,I need an N#,EN,"I need my student number, the N#; can you look it up?",53.0
Admissions / Enrollment,I need an N#,EN,Is there a way to retrieve my N# quickly?,41.0
Admissions / Enrollment,I need an N#,EN,I don’t have my N# handy; can you help me out?,46.0
Admissions / Enrollment,I need an N#,EN,Can you point me in the right direction for my N#?,50.0
Admissions / Enrollment,I need an N#,EN,I'm stuck without my N#; can you help?,38.0
Admissions / Enrollment,I need an N#,EN,"I need my N# for registration, can you assist?",46.0
Admissions / Enrollment,I need an N#,EN,How do I obtain my N#? I need one.,34.0
Admissions / Enrollment,I need an N#,EN,I’ve misplaced my N#; what should I do?,39.0
Admissions / Enrollment,I need an N#,EN,Can you check if you can give me my N#?,39.0
Admissions / Enrollment,I need an N#,EN,I need my N# to sign up for classes; can you help?,50.0
Admissions / Enrollment,I need an N#,EN,What’s the quickest way to get my N#?,37.0
Admissions / Enrollment,I need an N#,EN,Could you look up my N# for me?,31.0
Admissions / Enrollment,I need an N#,EN,"I need my N# ASAP, please!",26.0
Admissions / Enrollment,I need an N#,EN,Can you help me get my N# quickly?,34.0
Admissions / Enrollment,I need an N#,EN,I really need my N# right now!,30.0
Admissions / Enrollment,I need an N#,EN,I forgot my N#—can you look it up?,34.0
Admissions / Enrollment,I need an N#,EN,"Quick, I need my N# for a deadline!",35.0
Admissions / Enrollment,I need an N#,EN,I’m in a rush—where can I find my N#?,37.0
Admissions / Enrollment,I need an N#,EN,Can you print my N# for me? I’m in a hurry!,43.0
Admissions / Enrollment,I need an N#,EN,I need my N# before my next class!,34.0
Admissions / Enrollment,I need an N#,EN,Please help me get my N# fast!,30.0
Admissions / Enrollment,I need an N#,EN,I don’t have time—what's my N#?,31.0
Admissions / Enrollment,I need an N#,EN,I lost my N#; can you assist me?,32.0
Admissions / Enrollment,I need an N#,EN,"I need my N# right away, it's urgent!",37.0
Admissions / Enrollment,I need an N#,EN,Can you just tell me my N# quickly?,35.0
Admissions / Enrollment,I need an N#,EN,I'm strapped for time; I need my N#!,36.0
