text,category,subcategory
I have an ESL advising appointment?,Appointment,ESL Advising Appointment
Checking in for my financial services appointment.,Appointment,Financial Services Appointment
i have an appointment with financial aid,Appointment,Financial Services Appointment
Tengo una cita con mi consejero?,Appointment,Advising Appointment
I have an appointment with financial aid?,Appointment,Financial Services Appointment
Checking in for my new student appointment?,Appointment,New Student/Navigate Appointment
I have an appointment with financial aid,Appointment,Financial Services Appointment
i'm an international student with a question about my visa status,Admissions / Enrollment,International Student Inquiry
¿Puedo obtener mi historial académico?,Admissions / Enrollment,Copy of Transcript
Quiero inscribirme en un curso sin crédito,Admissions / Enrollment,Non-credit Registration
necesito ayuda con mi aplicación,Admissions / Enrollment,Application Assistance
How do I find my student ID number?,Admissions / Enrollment,I need an N#
i'm stuck on the admissions application,Admissions / Enrollment,Application Assistance
I need help with my application?,Admissions / Enrollment,Application Assistance
Can I register for a continuing education course.,Admissions / Enrollment,Non-credit Registration
I don't have my N number,Admissions / Enrollment,I need an N#
I need a verification letter for enrollment.,Admissions / Enrollment,Verification Letter
I'm stuck on the admissions application?,Admissions / Enrollment,Application Assistance
I need my N# to register,Admissions / Enrollment,I need an N#
i need a verification letter for enrollment,Admissions / Enrollment,Verification Letter
I'm stuck on the admissions application.,Admissions / Enrollment,Application Assistance
Soy estudiante invitado y necesito registrarme.,Admissions / Enrollment,Guest Student Course Registration
Soy estudiante internacional y tengo una pregunta,Admissions / Enrollment,International Student Inquiry
Necesito ayuda con mi aplicación,Admissions / Enrollment,Application Assistance
i need my n# to register,Admissions / Enrollment,I need an N#
I'm an international student with a question about my visa status?,Admissions / Enrollment,International Student Inquiry
i need help with my application,Admissions / Enrollment,Application Assistance
help me complete my enrollment paperwork,Admissions / Enrollment,Enrollment Form Completion
Can someone help me finish applying,Admissions / Enrollment,Application Assistance
¿Puedo obtener mi historial académico??,Admissions / Enrollment,Copy of Transcript
can i get a letter proving i'm enrolled,Admissions / Enrollment,Verification Letter
Can I register for a continuing education course,Admissions / Enrollment,Non-credit Registration
Help me complete my enrollment paperwork.,Admissions / Enrollment,Enrollment Form Completion
i have a question about my i-20 form,Admissions / Enrollment,International Student Inquiry
can someone help me finish applying,Admissions / Enrollment,Application Assistance
I need my N# to register?,Admissions / Enrollment,I need an N#
I need help with my application.,Admissions / Enrollment,Application Assistance
i don't have my n number,Admissions / Enrollment,I need an N#
¿Alguien me puede ayudar a terminar de aplicar?,Admissions / Enrollment,Application Assistance
I need a copy of my transcript.,Admissions / Enrollment,Copy of Transcript
Necesito ayuda con mi aplicación.,Admissions / Enrollment,Application Assistance
I need a copy of my transcript?,Admissions / Enrollment,Copy of Transcript
¿alguien me puede ayudar a terminar de aplicar?,Admissions / Enrollment,Application Assistance
I want to sign up for a non-credit class,Admissions / Enrollment,Non-credit Registration
I have a question about my I-20 form?,Admissions / Enrollment,International Student Inquiry
Necesito una carta de verificación de inscripción?,Admissions / Enrollment,Verification Letter
Help me complete my enrollment paperwork?,Admissions / Enrollment,Enrollment Form Completion
I'm an international student with a question about my visa status,Admissions / Enrollment,International Student Inquiry
I need a verification letter for enrollment?,Admissions / Enrollment,Verification Letter
I need a verification letter for enrollment,Admissions / Enrollment,Verification Letter
I need my N# to register.,Admissions / Enrollment,I need an N#
Soy estudiante internacional y tengo una pregunta?,Admissions / Enrollment,International Student Inquiry
Tengo una pregunta sobre el examen de colocación,New Accepted Student / Navigate,Placement Questions
necesito ayuda con navigate,New Accepted Student / Navigate,Navigate Assistance
I need help using Navigate,New Accepted Student / Navigate,Navigate Assistance
I can't log into my NSCC account.,New Accepted Student / Navigate,NSCC Account Setup
Necesito ayuda con Navigate.,New Accepted Student / Navigate,Navigate Assistance
Tengo una pregunta sobre el examen de colocación?,New Accepted Student / Navigate,Placement Questions
Necesito ayuda con Navigate?,New Accepted Student / Navigate,Navigate Assistance
I need help using Navigate?,New Accepted Student / Navigate,Navigate Assistance
Necesito ayuda para configurar mi cuenta de estudiante?,New Accepted Student / Navigate,NSCC Account Setup
Tengo una pregunta sobre el examen de colocación.,New Accepted Student / Navigate,Placement Questions
I have a question about placement testing?,New Accepted Student / Navigate,Placement Questions
tengo una pregunta sobre el examen de colocación,New Accepted Student / Navigate,Placement Questions
i have a question about placement testing,New Accepted Student / Navigate,Placement Questions
I have a question about placement testing,New Accepted Student / Navigate,Placement Questions
I can't log into my NSCC account?,New Accepted Student / Navigate,NSCC Account Setup
I have a question about placement testing.,New Accepted Student / Navigate,Placement Questions
i can't log into my nscc account,New Accepted Student / Navigate,NSCC Account Setup
Necesito ayuda para configurar mi cuenta de estudiante,New Accepted Student / Navigate,NSCC Account Setup
I need help using Navigate.,New Accepted Student / Navigate,Navigate Assistance
I can't log into my NSCC account,New Accepted Student / Navigate,NSCC Account Setup
Necesito ayuda para configurar mi cuenta de estudiante.,New Accepted Student / Navigate,NSCC Account Setup
I have a question about the insurance waiver.,Student Financial Services,Health Insurance Waiver Assistance
I have a general question for financial services?,Student Financial Services,SFS General Questions
I have a question about my book voucher?,Student Financial Services,Book Voucher Questions
Tengo una pregunta sobre mi vale de libros?,Student Financial Services,Book Voucher Questions
I have a question about the insurance waiver,Student Financial Services,Health Insurance Waiver Assistance
i need help with my fafsa,Student Financial Services,FAFSA or MASFA Application Assistance
I have a question about my book voucher.,Student Financial Services,Book Voucher Questions
tengo una pregunta sobre mi factura,Student Financial Services,"Billing, Payments and Refunds"
necesito exonerar mi seguro médico,Student Financial Services,Health Insurance Waiver Assistance
How do I use my book voucher.,Student Financial Services,Book Voucher Questions
I have a question about free community college?,Student Financial Services,Questions about Free Community College
I'm just dropping off paperwork for financial aid.,Student Financial Services,Drop Off Financial Aid Forms
I'm just dropping off paperwork for financial aid,Student Financial Services,Drop Off Financial Aid Forms
I need to waive my health insurance.,Student Financial Services,Health Insurance Waiver Assistance
I have a question about my book voucher,Student Financial Services,Book Voucher Questions
I need to drop off my financial aid forms.,Student Financial Services,Drop Off Financial Aid Forms
Necesito ayuda con mi FAFSA,Student Financial Services,FAFSA or MASFA Application Assistance
Necesito ayuda con mi FAFSA?,Student Financial Services,FAFSA or MASFA Application Assistance
Necesito ayuda con mi FAFSA.,Student Financial Services,FAFSA or MASFA Application Assistance
I have a question about my bill.,Student Financial Services,"Billing, Payments and Refunds"
Tengo una pregunta sobre la universidad comunitaria gratuita,Student Financial Services,Questions about Free Community College
I need help with my FAFSA?,Student Financial Services,FAFSA or MASFA Application Assistance
i have a question about free community college,Student Financial Services,Questions about Free Community College
I need help with my FAFSA.,Student Financial Services,FAFSA or MASFA Application Assistance
Tengo una pregunta sobre mi factura.,Student Financial Services,"Billing, Payments and Refunds"
I need help with my FAFSA,Student Financial Services,FAFSA or MASFA Application Assistance
Necesito exonerar mi seguro médico.,Student Financial Services,Health Insurance Waiver Assistance
Tengo una pregunta general para servicios financieros.,Student Financial Services,SFS General Questions
How do I use my book voucher,Student Financial Services,Book Voucher Questions
I have a general question for financial services.,Student Financial Services,SFS General Questions
i'm just dropping off paperwork for financial aid,Student Financial Services,Drop Off Financial Aid Forms
Tengo una pregunta financiera sobre darme de baja de un curso?,Student Financial Services,SFS Course Withdrawal Questions
I have a general question for financial services,Student Financial Services,SFS General Questions
Necesito exonerar mi seguro médico?,Student Financial Services,Health Insurance Waiver Assistance
Necesito exonerar mi seguro médico,Student Financial Services,Health Insurance Waiver Assistance
I have a question about my bill,Student Financial Services,"Billing, Payments and Refunds"
i need to drop off my financial aid forms,Student Financial Services,Drop Off Financial Aid Forms
Tengo una pregunta general para servicios financieros,Student Financial Services,SFS General Questions
i have a question about my bill,Student Financial Services,"Billing, Payments and Refunds"
tengo una pregunta sobre la universidad comunitaria gratuita,Student Financial Services,Questions about Free Community College
